eng,kor
data,데이터
window,윈도우
db,데이터베이스
js,자바스크립트
java,자바
json,제이슨
cpu,시피유
python,파이썬
aws,아마존
gpu,지피유
node,노드
github,깃허브
code,코드
rest,레스트
google,구글
visual,시각화
numpy,넘파이
windows,윈도우
web,웹
cafe,카페
matplotlib,맷플롯립
pandas,판다스
object,오브젝트
naver,네이버
network,네트워크
list,리스트
cloud,클라우드
layer,레이어
microsoft,마이크로소프트
go,고
app,앱
class,클래스
excel,엑셀
rom,롬
es,이에스
design,디자인
mac,맥
javascript,자바스크립트
tensorflow,텐서플로우
docker,도커
server,서버
git,깃
android,안드로이드
date,날짜
text,텍스트
keras,케라스
model,모델
svm,서포트벡터머신
tf,텐서플로우
apache,아파치
azure,애져
word,단어
linux,리눅스
array,어레이
react,리액트
scikit,사이킷런
dataframe,데이터프레임
service,서비스
jquery,제이쿼리
analysis,분석
tool,툴
youtube,유튜브
oracle,오라클
amazon,아마존
query,쿼리
database,데이터베이스
programming,프로그래밍
restful,레스트풀
coding,코딩
application,앱
spring,스프링
game,게임
vue,뷰
vector,벡터
mongodb,몽고DB
anaconda,아나콘다
script,스크립트
kaggle,캐글
daum,다음
notion,노션
nvidia,엔비디아
layers,레이어
quantum,퀀텀
grid,그리드
sklearn,사이킷런
neural,뉴럴
static,통계
modeling,모델링
audio,오디오
spark,스파크
mariadb,마리아DB
opencv,오픈cv
pytorch,파이토치
machine,머신
learning,러닝
deep,딥
artificial,인공
intelligence,지능
perceptron,퍼셉트론
ai,인공지능
execel,엑셀
ip,아이피
logistic,로지스틱
regression,회기
MSA,마이크로서비스
flask,플라스크
텐서플로,텐서플로우
파이선,파이썬
알고리듬,알고리즘
NaN,머신러닝
NaN,딥러닝
NaN,크롤링
